type,antigen,x,y
AG,BE/353/89,-3.9616507499,-0.777628911417
AG,LY/1182/91,-2.04277681686,-2.34523976907
AG,BE/352/89,-0.887656235217,-1.72057021447
AG,PA/467/92,-2.96619435736,-0.265685892413
AG,TI/5957/92,-2.32124232409,-1.14723158037
AG,AT/211/89,-1.60960669085,1.02829444057
AG,SP/34/89,1.00890855993,1.21150654485
AG,SP/36/89,1.28975783267,1.08507620205
AG,SP/53/89,0.0637133740039,1.98506415192
AG,VI/1/89,2.16461155642,5.3400243777
AG,ME/5/90,-1.81164818618,1.93519019751
AG,SH/24/90,3.22142495718,0.626521110496
AG,BE/32/92,4.48910667346,-1.20273783703
AG,FI/247/92,5.44448604076,-3.62086098382
AG,NL/938/92,3.16421407112,-0.701060773975
AG,SE/C273/92,6.83845716229,-2.83915643787
AG,ST/12/92,4.00293973672,-3.08035195338
AG,ST/13/92,-2.17958654101,-0.186064045534
AG,UM/1982/92,-1.88343345855,-2.34080175789
AG,UM/2000/92,-2.2847364453,-1.72796665
AG,AK/4/93,6.21149646514,-3.78938137621
AG,ES/5458/93,-1.49157207046,-3.05681028831
AG,MA/G101/93,-3.24655461052,-0.607776140264
AG,MA/G109/93,3.506467679,-4.32543421434
AG,MA/G116/93,-3.43368131665,-1.8122696088
AG,MA/G122/93,3.64968816866,-4.81862133661
AG,MA/G130/93,4.79662733798,-2.00706378933
AG,NL/3/93,2.81272094625,-3.22160969472
AG,NL/17/93,2.92279927711,-1.47858665912
AG,NL/101/93,4.88823494427,-1.35563605121
AG,NL/115/93,4.77527692255,-2.05706373501
AG,NL/126/93,5.20604427226,-1.21024109081
AG,NL/165/93,-4.10720708978,-1.88748782322
AG,NL/179/93,3.48349392796,-2.80764873215
AG,PA/287/93,-2.14734166519,-2.57376623173
AG,SG/6/93,6.2815131443,-4.1117634908
AG,YA/56/93,6.58878667322,-3.90562949304
AG,YA/61/93,7.74092466464,-2.69794508241
AG,YA/62/93,6.9318998971,-3.59489299905
AG,NL/399/93,0.306469664275,-5.83829806956
AG,SD/9/93,5.92814349789,-3.28822174843
AG,LY/672/93,5.15288974415,-3.57402882139
AG,LY/1803/93,4.99184123179,-2.77173831409
AG,NL/357/93,4.3124774922,-3.62635570209
AG,NL/371/93,5.84376176589,-4.71312003383
AG,NL/372/93,0.515516822105,-6.63961056614
AG,NL/398/93,3.13147272033,-4.4393786074
AG,NL/440/93,3.82947150556,-3.53761088497
AG,OS/2219/93,4.07320220471,-5.08314962823
AG,OS/2352/93,5.28800540492,-2.66949699295
AG,ST/20/93,3.33528889555,-4.98439248211
AG,VI/104/93,4.4902112554,-3.35209837833
AG,WE/59/93,5.22466326502,-4.56181350211
AG,SP/19/93,0.555022206636,-6.34070858659
AG,LY/1815/93,4.29786622156,-5.32645753634
AG,LY/22686/93,5.06037776913,-4.18267634246
AG,LY/23602/93,3.30700251863,-4.86076540382
AG,SP/3/93,5.07924709527,-2.83047780782
AG,HK/1/94,3.73027296427,-5.03425078155
AG,HK/2/94,4.39590893004,-4.29621103532
AG,HK/55/94,3.27141111531,-5.55124609456
AG,HK/56/94,3.73088515216,-5.36912167242
AG,SA/15/94,3.65127717325,-5.25992901566
AG,SA/25/94,4.00274522417,-5.38377744626
AG,GD/25/93,5.8096867803,-5.10998488084
AG,SL/142/93,4.36652614241,-2.55796708252
AG,SL/160/93,5.30601284812,-5.08637487162
AG,EN/7/94,2.05505848682,-7.89420730045
AG,JO/33/94,6.56668138493,-5.16907334512
AG,FI/338/95,1.12890386523,-6.0876391814
AG,ST/506/95,2.65540934838,-5.26790791408
AG,JO/47/94,6.09570493306,-4.03040541165
AG,GE/A9509/95,0.955018190357,-4.71361255079
AG,HK/32/95,4.07708784441,-5.19799856101
AG,GE/6447/91,-3.46104984325,-1.88049198274
AG,LY/1189/91,-2.35750984054,-1.41434006089
AG,LY/1276/91,-1.64718159353,-2.88075280598
AG,LY/1337/91,-2.8402637087,-1.72892160448
AG,LY/1373/91,-2.52988371244,-1.5911036728
AG,LY/1594/91,-3.51935773983,-1.07179443829
AG,LY/23672/91,-3.68478232418,-1.55924908801
AG,LY/24103/91,-3.05272650253,-0.913255401024
AG,LY/24222/91,-1.53610370902,-1.70125454603
AG,ST/20/91,-3.14983066387,-1.03560402152
AG,FI/218/92,-3.43651254316,-2.44612207084
AG,GE/5113/92,-3.91956167336,-0.86610845902
AG,HO/56798/92,-3.52571176388,-1.6413868407
AG,HO/56829/92,-2.12698786344,-1.44557506531
AG,HO/56941/92,-2.48762248382,-2.19304709967
AG,OV/31/92,-2.00705075483,-0.300054083302
AG,NI/3126/92,-2.98931658232,-1.55347004359
AG,NL/823/92,-2.84383153155,-1.88663196811
AG,PA/320/92,-2.84945293956,-1.21910492423
AG,PA/325/92,-3.02230511031,-1.26832692937
AG,PA/407/92,-3.85502358613,-1.02983782312
AG,PA/417/92,-1.88629738622,-2.48430716086
AG,PA/424/92,-3.24702162692,-1.90192192002
AG,PA/457/92,-4.15973019185,0.104553624604
AG,PA/490/92,-2.61727483738,-1.72592031658
AG,PA/512/92,-4.53734412012,-1.2212916729
AG,PA/548/92,-4.57615453458,-0.975577718669
AG,PA/564/92,-2.05225471847,-2.45989347027
AG,PA/597/92,-3.32596377541,-2.70951249704
AG,RD/100540/92,-2.29002539186,-1.3456596981
AG,ST/8/92,-2.58883724464,-2.21868938412
AG,FI/339/95,2.765491144,-9.07813932581
AG,HK/3/95,3.51539890938,-4.64280874312
AG,FI/381/95,3.31285756587,-9.03446584963
AG,HK/38/95,2.86939982566,-5.20614853519
AG,HK/49/95,2.22347824995,-7.15186044559
AG,HK/55/95,1.24445550544,-5.53827757772
AG,LY/2279/95,1.39347511521,-5.84885414906
AG,NA/933/95,0.730288786586,-5.69803754464
AG,NL/271/95,2.00981795475,-8.89019707679
AG,VI/75/95,2.68620028371,-4.82357514853
AG,WU/359/95,0.0395228977289,-6.19679127119
AG,BR/8/96,-0.892192243091,-6.29147059099
AG,GE/3958/96,0.578737973916,-6.72280558053
AG,HK/20/96,0.248541276484,-6.59535143642
AG,HK/42/96,2.2041047079,-4.62668224826
AG,HK/357/96,0.892318234744,-6.25018499939
AG,HK/358/96,-0.4957798089,-6.27611425286
AG,HK/434/96,6.86390525854,-5.20802602397
AG,NL/91/96,4.86441865959,-4.41306313861
AG,SP/1/96,0.339056600766,-5.92647253996
AG,HK/1/97,-0.118706305617,-6.06673243957
AG,NE/491/97,-0.744641328616,-6.74858844592
AG,AU/10/97,-3.27698180461,-10.1289007504
AG,HK/280/97,-0.592996559406,-7.06984708963
AG,NL/300/97,-3.01366500259,-9.75073916826
AG,SY/5/97,-3.48534967827,-10.1617586272
AG,NL/5/98,0.64713554983,-5.67150303885
AG,LY/1781/96,0.56857732897,-6.08771696397
AG,JO/10/97,-0.17063902702,-5.27191275552
AG,OS/21/97,0.396209621361,-5.88589444057
AG,OS/244/97,0.205618353796,-5.89324340501
AG,NL/414/98,-1.49067719919,-9.76235616047
AG,NL/462/98,-1.80827545278,-9.56449307828
AG,MW/10/99,-3.93098411731,-8.56811788595
AG,NL/301/99,-2.55717601888,-10.2441541812
AG,NL/3/00,-1.12756475573,-11.7010307534
AG,NL/427/98,-3.82325615603,-9.63703652759
AG,TE/1/77,-4.19387366824,8.85084222043
AG,GF/V728/85,-2.95530091407,3.50741406799
AG,PM/2007/99,-2.26608913619,-9.70773724332
