name,year,cluster,type,x.coordinate,y.coordinate,location,lat,lng
BI/15793/68,1968,HK68,AG,4.04806432953,14.972721497,BILTHOVEN,52.14,5.02
BI/16190/68,1968,HK68,AG,4.10330206141,14.8063276024,BILTHOVEN,52.14,5.02
BI/16398/68,1968,HK68,AG,4.36344841606,13.8929251374,BILTHOVEN,52.14,5.02
BI/808/69,1969,HK68,AG,3.87169764308,14.2552884031,BILTHOVEN,52.14,5.02
BI/908/69,1969,HK68,AG,4.86865595435,14.0931875933,BILTHOVEN,52.14,5.02
BI/17938/69,1969,HK68,AG,4.40037478944,14.860122145,BILTHOVEN,52.14,5.02
BI/93/70,1970,HK68,AG,5.05936853902,14.477686057,BILTHOVEN,52.14,5.02
BI/2668/70,1970,HK68,AG,4.82002371117,15.4709921597,BILTHOVEN,52.14,5.02
BI/6449/71,1971,HK68,AG,3.8689797106,15.9188266054,BILTHOVEN,52.14,5.02
BI/21438/71,1971,HK68,AG,4.27257743308,14.1186830193,BILTHOVEN,52.14,5.02
BI/21801/71,1971,HK68,AG,4.26279009631,14.1365153221,BILTHOVEN,52.14,5.02
BI/6022/72,1972,HK68,AG,3.31006996257,14.1152907437,BILTHOVEN,52.14,5.02
BI/5168/76,1976,VI75,AG,0.723193078971,9.24414313133,BILTHOVEN,52.14,5.02
BI/4273/75,1975,EN72,AG,0.12244709625,14.3478754759,BILTHOVEN,52.14,5.02
BI/334/75,1975,EN72,AG,0.744119320484,13.760114258,BILTHOVEN,52.14,5.02
BI/1843/75,1975,EN72,AG,0.773509884096,12.9754554037,BILTHOVEN,52.14,5.02
BI/21793/72,1972,EN72,AG,1.92210056182,13.6248485176,BILTHOVEN,52.14,5.02
BI/23290/72,1972,EN72,AG,1.65642755,13.7274148626,BILTHOVEN,52.14,5.02
BI/23337/72,1972,EN72,AG,1.656428374,13.7274158895,BILTHOVEN,52.14,5.02
BI/552/73,1973,EN72,AG,1.31418448834,13.020057941,BILTHOVEN,52.14,5.02
BI/748/73,1973,EN72,AG,1.44613041221,13.8939890852,BILTHOVEN,52.14,5.02
BI/3517/73,1973,EN72,AG,1.78898175587,13.8135861344,BILTHOVEN,52.14,5.02
BI/5146/74,1974,EN72,AG,0.832518170399,14.3716075222,BILTHOVEN,52.14,5.02
BI/5930/74,1974,EN72,AG,1.60788788965,13.8538601454,BILTHOVEN,52.14,5.02
BI/5931/74,1974,EN72,AG,1.58601068112,13.0011375997,BILTHOVEN,52.14,5.02
BI/7398/74,1974,EN72,AG,0.600279621976,13.228178205,BILTHOVEN,52.14,5.02
BI/9459/74,1974,EN72,AG,1.25135771896,12.9564186686,BILTHOVEN,52.14,5.02
BI/2600/75,1975,EN72,AG,0.121970006681,13.7900225,BILTHOVEN,52.14,5.02
BI/2813/75,1975,EN72,AG,1.36269472937,14.1771193529,BILTHOVEN,52.14,5.02
BI/628/76,1976,TX77,AG,-1.58837429954,8.28598875092,BILTHOVEN,52.14,5.02
BI/1761/76,1976,VI75,AG,0.927252727247,8.88135320529,BILTHOVEN,52.14,5.02
BI/2271/76,1976,TX77,AG,-1.71066313092,8.45855111783,BILTHOVEN,52.14,5.02
BI/5029/76,1976,VI75,AG,1.07960525378,8.3510849161,BILTHOVEN,52.14,5.02
BI/5657/76,1976,VI75,AG,0.867162831057,8.50766274496,BILTHOVEN,52.14,5.02
BI/6545/76,1976,VI75,AG,0.875974291749,8.60432318454,BILTHOVEN,52.14,5.02
AM/1609/77,1977,VI75,AG,0.895041247101,9.41358551938,AMSTERDAM,52.35,4.9166
BI/3895/77,1977,VI75,AG,0.678128316109,8.75968463299,BILTHOVEN,52.14,5.02
RD/5828/77,1977,VI75,AG,1.32216623526,9.72713807109,ROTTERDAM,51.92,4.48
RD/8179/77,1977,VI75,AG,0.917010619876,9.11999231069,ROTTERDAM,51.92,4.48
NL/209/80,1980,BK79,AG,-3.311483795,6.80544282325,NETHERLANDS,52.08,4.27
RD/577/80,1980,BK79,AG,-3.37747450096,6.92802239403,ROTTERDAM,51.92,4.48
NL/233/82,1982,BK79,AG,-3.63302580964,6.69505136508,NETHERLANDS,52.08,4.27
NL/241/82,1982,BK79,AG,-3.50329064666,6.50988436619,NETHERLANDS,52.08,4.27
NL/330/85,1985,BK79,AG,-2.41647581163,5.74714822763,NETHERLANDS,52.08,4.27
ST/10/85,1985,BK79,AG,-2.45182488974,4.94914919505,STOCKHOLM,59.3508,18.0973
CO/2/86,1986,BK79,AG,-2.80367223187,4.922501242,COLORADO,38.7,-106
NL/450/88,1988,SI87,AG,-0.0963880425681,2.0219216554,NETHERLANDS,52.08,4.27
NL/620/89,1989,SI87,AG,0.49235887644,1.49574080925,NETHERLANDS,52.08,4.27
VI/2/90,1990,BE89,AG,-2.11640199102,-0.999139721607,VICTORIA,48.4333,-123.35
LY/1149/91,1991,BE89,AG,-1.82196241993,-2.56510120002,LYON,45.77,4.83
MA/G102/93,1993,BE92,AG,3.86582322649,-3.65925209251,MADRID,40.4,-3.6834
MA/G252/93,1993,WU95,AG,1.00821760134,-6.97101660754,MADRID,40.4,-3.6834
NL/241/93,1993,BE92,AG,3.94980743914,-5.03276936015,NETHERLANDS,52.08,4.27
NL/1/95,1995,BE92,AG,4.8999080853,-5.3663960828,NETHERLANDS,52.08,4.27
WE/4/85,1985,BK79,AG,-2.93102829845,4.27220618697,WELLINGTON,-41.3,174.7833
OK/5/88,1988,SI87,AG,-3.74344697613,1.08724962568,OKLAHOMA,35.5,-97.1
